"Category","Average Minimum Surface Air Temperature","Average Mean Surface Air Temperature","Average Maximum Surface Air Temperature","Precipitation"
"Jan",1.69,4.1,6.55,120.22
"Feb",1.43,4.21,7.03,94.74
"Mar",2.47,5.79,9.16,86.35
"Apr",3.95,7.94,11.97,71.67
"May",6.45,10.76,15.12,70.72
"Jun",9.28,13.49,17.74,78.19
"Jul",11.22,15.37,19.57,84.47
"Aug",11.18,15.23,19.32,94.6
"Sep",9.32,13.07,16.86,95.36
"Oct",6.8,9.92,13.08,129.05
"Nov",4.05,6.68,9.37,129.72
"Dec",2.02,4.47,6.96,129.8
