"Category","Average Minimum Surface Air Temperature","Average Mean Surface Air Temperature","Average Maximum Surface Air Temperature","Precipitation"
"Jan",-8.25,-2.67,2.9,56.04
"Feb",-6.75,-0.77,5.21,50.18
"Mar",-3.17,3.25,9.67,56.27
"Apr",1.95,8.64,15.35,61.11
"May",7.64,14.32,21.05,69.37
"Jun",12.41,19.12,25.89,73.34
"Jul",15.02,21.74,28.52,71.4
"Aug",14.07,20.81,27.6,69.81
"Sep",9.98,16.74,23.55,64.18
"Oct",3.55,10.07,16.61,60.37
"Nov",-2.66,3.21,9.1,53.74
"Dec",-6.83,-1.41,4.02,58.18
