"Category","Average Minimum Surface Air Temperature","Average Mean Surface Air Temperature","Average Maximum Surface Air Temperature","Precipitation"
"Jan",-13.05,-7.11,-1.19,13.19
"Feb",-9.81,-3.59,2.61,16.23
"Mar",-3.95,2.3,8.56,28.63
"Apr",2.65,8.99,15.35,41.68
"May",7.8,13.99,20.23,68.68
"Jun",12.26,17.99,23.75,100.2
"Jul",14.75,20.18,25.65,114.6
"Aug",13.67,19.19,24.75,100.82
"Sep",9.03,14.85,20.71,60.04
"Oct",2.28,8.29,14.33,33.46
"Nov",-5.14,0.82,6.79,19.02
"Dec",-11.14,-5.29,0.53,11.57
