"Category","Average Minimum Surface Air Temperature","Average Mean Surface Air Temperature","Average Maximum Surface Air Temperature","Precipitation"
"Jan",-3.91,0.16,4.24,73.64
"Feb",-2.95,1.6,6.17,62.72
"Mar",0.42,5.5,10.61,65.54
"Apr",4.62,10.29,16.01,61.16
"May",8.82,15.01,21.25,59.84
"Jun",12.67,19.41,26.21,37.54
"Jul",15.68,22.75,29.88,16.78
"Aug",15.73,22.91,30.14,15.36
"Sep",11.84,18.91,26.04,23.13
"Oct",7.52,13.65,19.82,49.21
"Nov",1.94,7.1,12.29,59.46
"Dec",-1.84,2.15,6.16,76.9
