"Category","Average Minimum Surface Air Temperature","Average Mean Surface Air Temperature","Average Maximum Surface Air Temperature","Precipitation"
"Jan",-10.87,-7.18,-3.53,47.47
"Feb",-10.77,-6.75,-2.76,36.89
"Mar",-7.63,-3.12,1.37,34.08
"Apr",-2.66,2.06,6.79,35.75
"May",2.22,7.42,12.67,45.39
"Jun",6.98,12.16,17.38,67.12
"Jul",9.91,14.94,20.03,80.24
"Aug",8.81,13.6,18.45,78.73
"Sep",5.02,9.13,13.3,59.22
"Oct",0.23,3.41,6.61,59.22
"Nov",-4.94,-2.03,0.87,55.94
"Dec",-8.92,-5.48,-2.08,53.29
