"Category","Average Minimum Surface Air Temperature","Average Mean Surface Air Temperature","Average Maximum Surface Air Temperature","Precipitation"
"Jan",17.93,24.5,31.11,64.3
"Feb",17.78,23.99,30.24,65.47
"Mar",16.66,22.96,29.3,54.34
"Apr",13.88,20.79,27.76,18.57
"May",9.81,17.65,25.54,3.4
"Jun",6.85,14.94,23.08,1.08
"Jul",6.32,14.62,22.98,0.61
"Aug",7.84,16.4,25.01,0.75
"Sep",11.09,19.58,28.13,2.03
"Oct",14.29,22.21,30.18,9.07
"Nov",15.89,23.27,30.69,22.4
"Dec",17.05,24.21,31.41,34.68
