"Category","Average Minimum Surface Air Temperature","Average Mean Surface Air Temperature","Average Maximum Surface Air Temperature","Precipitation"
"Jan",1.35,4.32,7.32,72.92
"Feb",1.23,4.87,8.55,58.72
"Mar",3.28,7.67,12.11,57.23
"Apr",5.56,10.4,15.29,63.8
"May",9.03,13.98,18.99,71.45
"Jun",12.32,17.49,22.71,69.35
"Jul",14.33,19.75,25.23,59.61
"Aug",14.19,19.63,25.12,65.29
"Sep",11.28,16.3,21.38,74.23
"Oct",8.46,12.43,16.46,83.14
"Nov",4.52,7.74,11.01,91.32
"Dec",1.97,4.92,7.91,83.13
