Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Denmark","Stocks","Swine / pigs","1995","An","11083910"
"Crops and livestock products","Denmark","Stocks","Swine / pigs","1996","An","10841553"
"Crops and livestock products","Denmark","Stocks","Swine / pigs","1997","An","11383181"
"Crops and livestock products","Denmark","Stocks","Swine / pigs","1998","An","12095139"
"Crops and livestock products","Denmark","Stocks","Swine / pigs","1999","An","11626043"
"Crops and livestock products","Denmark","Stocks","Swine / pigs","2000","An","11921573"
"Crops and livestock products","Denmark","Stocks","Swine / pigs","2001","An","12607545"
"Crops and livestock products","Denmark","Stocks","Swine / pigs","2002","An","12732035"
"Crops and livestock products","Denmark","Stocks","Swine / pigs","2003","An","12948944"
"Crops and livestock products","Denmark","Stocks","Swine / pigs","2004","An","13233235"
"Crops and livestock products","Denmark","Stocks","Swine / pigs","2005","An","13534436"
"Crops and livestock products","Denmark","Stocks","Swine / pigs","2006","An","13361099"
"Crops and livestock products","Denmark","Stocks","Swine / pigs","2007","An","13723467"
"Crops and livestock products","Denmark","Stocks","Swine / pigs","2008","An","12737648"
"Crops and livestock products","Denmark","Stocks","Swine / pigs","2009","An","12369145"
"Crops and livestock products","Denmark","Stocks","Swine / pigs","2010","An","13173060"
"Crops and livestock products","Denmark","Stocks","Swine / pigs","2011","An","12931678"
"Crops and livestock products","Denmark","Stocks","Swine / pigs","2012","An","12330879"
"Crops and livestock products","Denmark","Stocks","Swine / pigs","2013","An","12075750"
"Crops and livestock products","Denmark","Stocks","Swine / pigs","2014","An","12331707"
"Crops and livestock products","Denmark","Stocks","Swine / pigs","2015","An","12537763"
"Crops and livestock products","Denmark","Stocks","Swine / pigs","2016","An","12383000"
"Crops and livestock products","Denmark","Stocks","Swine / pigs","2017","An","12307667"
"Crops and livestock products","Denmark","Stocks","Swine / pigs","2018","An","12642000"
"Crops and livestock products","Denmark","Stocks","Swine / pigs","2019","An","12728000"
"Crops and livestock products","Denmark","Stocks","Swine / pigs","2020","An","13391000"
"Crops and livestock products","Denmark","Stocks","Swine / pigs","2021","An","13152000"
"Crops and livestock products","Denmark","Stocks","Swine / pigs","2022","An","11541000"
"Crops and livestock products","Denmark","Stocks","Swine / pigs","2023","An","11368000"
"Crops and livestock products","France","Stocks","Swine / pigs","1995","An","13843593"
"Crops and livestock products","France","Stocks","Swine / pigs","1996","An","14334813"
"Crops and livestock products","France","Stocks","Swine / pigs","1997","An","14567223"
"Crops and livestock products","France","Stocks","Swine / pigs","1998","An","14768923"
"Crops and livestock products","France","Stocks","Swine / pigs","1999","An","14756578"
"Crops and livestock products","France","Stocks","Swine / pigs","2000","An","14927425"
"Crops and livestock products","France","Stocks","Swine / pigs","2001","An","15377426"
"Crops and livestock products","France","Stocks","Swine / pigs","2002","An","15345488"
"Crops and livestock products","France","Stocks","Swine / pigs","2003","An","15160276"
"Crops and livestock products","France","Stocks","Swine / pigs","2004","An","15022173"
"Crops and livestock products","France","Stocks","Swine / pigs","2005","An","14948695"
"Crops and livestock products","France","Stocks","Swine / pigs","2006","An","14837023"
"Crops and livestock products","France","Stocks","Swine / pigs","2007","An","14909601"
"Crops and livestock products","France","Stocks","Swine / pigs","2008","An","14947371"
"Crops and livestock products","France","Stocks","Swine / pigs","2009","An","14718918"
"Crops and livestock products","France","Stocks","Swine / pigs","2010","An","14287055"
"Crops and livestock products","France","Stocks","Swine / pigs","2011","An","13975454"
"Crops and livestock products","France","Stocks","Swine / pigs","2012","An","13759913"
"Crops and livestock products","France","Stocks","Swine / pigs","2013","An","13485406"
"Crops and livestock products","France","Stocks","Swine / pigs","2014","An","13335192"
"Crops and livestock products","France","Stocks","Swine / pigs","2015","An","13162391"
"Crops and livestock products","France","Stocks","Swine / pigs","2016","An","12626616"
"Crops and livestock products","France","Stocks","Swine / pigs","2017","An","12930857"
"Crops and livestock products","France","Stocks","Swine / pigs","2018","An","13713000"
"Crops and livestock products","France","Stocks","Swine / pigs","2019","An","13510000"
"Crops and livestock products","France","Stocks","Swine / pigs","2020","An","13393000"
"Crops and livestock products","France","Stocks","Swine / pigs","2021","An","12941000"
"Crops and livestock products","France","Stocks","Swine / pigs","2022","An","12182590"
"Crops and livestock products","France","Stocks","Swine / pigs","2023","An","11794050"
"Crops and livestock products","Italy","Stocks","Swine / pigs","1995","An","8023400"
"Crops and livestock products","Italy","Stocks","Swine / pigs","1996","An","8060700"
"Crops and livestock products","Italy","Stocks","Swine / pigs","1997","An","8090000"
"Crops and livestock products","Italy","Stocks","Swine / pigs","1998","An","8281000"
"Crops and livestock products","Italy","Stocks","Swine / pigs","1999","An","8323000"
"Crops and livestock products","Italy","Stocks","Swine / pigs","2000","An","8414000"
"Crops and livestock products","Italy","Stocks","Swine / pigs","2001","An","8646000"
"Crops and livestock products","Italy","Stocks","Swine / pigs","2002","An","8766000"
"Crops and livestock products","Italy","Stocks","Swine / pigs","2003","An","9166000"
"Crops and livestock products","Italy","Stocks","Swine / pigs","2004","An","9156724"
"Crops and livestock products","Italy","Stocks","Swine / pigs","2005","An","8971783"
"Crops and livestock products","Italy","Stocks","Swine / pigs","2006","An","9200000"
"Crops and livestock products","Italy","Stocks","Swine / pigs","2007","An","9281000"
"Crops and livestock products","Italy","Stocks","Swine / pigs","2008","An","9273000"
"Crops and livestock products","Italy","Stocks","Swine / pigs","2009","An","9252400"
"Crops and livestock products","Italy","Stocks","Swine / pigs","2010","An","9157100"
"Crops and livestock products","Italy","Stocks","Swine / pigs","2011","An","9321119"
"Crops and livestock products","Italy","Stocks","Swine / pigs","2012","An","8661526"
"Crops and livestock products","Italy","Stocks","Swine / pigs","2013","An","8561683"
"Crops and livestock products","Italy","Stocks","Swine / pigs","2014","An","8676100"
"Crops and livestock products","Italy","Stocks","Swine / pigs","2015","An","8674793"
"Crops and livestock products","Italy","Stocks","Swine / pigs","2016","An","8477930"
"Crops and livestock products","Italy","Stocks","Swine / pigs","2017","An","8570807"
"Crops and livestock products","Italy","Stocks","Swine / pigs","2018","An","8492230"
"Crops and livestock products","Italy","Stocks","Swine / pigs","2019","An","8510270"
"Crops and livestock products","Italy","Stocks","Swine / pigs","2020","An","8543030"
"Crops and livestock products","Italy","Stocks","Swine / pigs","2021","An","8407970"
"Crops and livestock products","Italy","Stocks","Swine / pigs","2022","An","8739000"
"Crops and livestock products","Italy","Stocks","Swine / pigs","2023","An","9171000"
"Crops and livestock products","Japan","Stocks","Swine / pigs","1995","An","10250000"
"Crops and livestock products","Japan","Stocks","Swine / pigs","1996","An","9900000"
"Crops and livestock products","Japan","Stocks","Swine / pigs","1997","An","9823000"
"Crops and livestock products","Japan","Stocks","Swine / pigs","1998","An","9904000"
"Crops and livestock products","Japan","Stocks","Swine / pigs","1999","An","9879000"
"Crops and livestock products","Japan","Stocks","Swine / pigs","2000","An","9806000"
"Crops and livestock products","Japan","Stocks","Swine / pigs","2001","An","9788000"
"Crops and livestock products","Japan","Stocks","Swine / pigs","2002","An","9612000"
"Crops and livestock products","Japan","Stocks","Swine / pigs","2003","An","9725000"
"Crops and livestock products","Japan","Stocks","Swine / pigs","2004","An","9724000"
"Crops and livestock products","Japan","Stocks","Swine / pigs","2005","An","9600000"
"Crops and livestock products","Japan","Stocks","Swine / pigs","2006","An","9620000"
"Crops and livestock products","Japan","Stocks","Swine / pigs","2007","An","9759000"
"Crops and livestock products","Japan","Stocks","Swine / pigs","2008","An","9745000"
"Crops and livestock products","Japan","Stocks","Swine / pigs","2009","An","9899000"
"Crops and livestock products","Japan","Stocks","Swine / pigs","2010","An","9800000"
"Crops and livestock products","Japan","Stocks","Swine / pigs","2011","An","9768000"
"Crops and livestock products","Japan","Stocks","Swine / pigs","2012","An","9735000"
"Crops and livestock products","Japan","Stocks","Swine / pigs","2013","An","9685000"
"Crops and livestock products","Japan","Stocks","Swine / pigs","2014","An","9537000"
"Crops and livestock products","Japan","Stocks","Swine / pigs","2015","An","9400878"
"Crops and livestock products","Japan","Stocks","Swine / pigs","2016","An","9313000"
"Crops and livestock products","Japan","Stocks","Swine / pigs","2017","An","9346000"
"Crops and livestock products","Japan","Stocks","Swine / pigs","2018","An","9189000"
"Crops and livestock products","Japan","Stocks","Swine / pigs","2019","An","9156000"
"Crops and livestock products","Japan","Stocks","Swine / pigs","2020","An","9235658"
"Crops and livestock products","Japan","Stocks","Swine / pigs","2021","An","9290000"
"Crops and livestock products","Japan","Stocks","Swine / pigs","2022","An","8949000"
"Crops and livestock products","Japan","Stocks","Swine / pigs","2023","An","8956000"
"Crops and livestock products","Mexico","Stocks","Swine / pigs","1995","An","15923343"
"Crops and livestock products","Mexico","Stocks","Swine / pigs","1996","An","15405296"
"Crops and livestock products","Mexico","Stocks","Swine / pigs","1997","An","15734863"
"Crops and livestock products","Mexico","Stocks","Swine / pigs","1998","An","14971532"
"Crops and livestock products","Mexico","Stocks","Swine / pigs","1999","An","15360833"
"Crops and livestock products","Mexico","Stocks","Swine / pigs","2000","An","15390507"
"Crops and livestock products","Mexico","Stocks","Swine / pigs","2001","An","15269363"
"Crops and livestock products","Mexico","Stocks","Swine / pigs","2002","An","15122885"
"Crops and livestock products","Mexico","Stocks","Swine / pigs","2003","An","14625199"
"Crops and livestock products","Mexico","Stocks","Swine / pigs","2004","An","15176822"
"Crops and livestock products","Mexico","Stocks","Swine / pigs","2005","An","15206310"
"Crops and livestock products","Mexico","Stocks","Swine / pigs","2006","An","15257386"
"Crops and livestock products","Mexico","Stocks","Swine / pigs","2007","An","15273731"
